bar,dir,trigger,outcome
2022-04-04 13:40:00,BULLISH,PendingFlip,FAIL:no_contract CE 17950 exp=2024-10-03
2022-04-05 11:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 17950 exp=2024-10-03
2022-04-05 11:55:00,BEARISH,PendingFlip,FAIL:no_contract PE 18050 exp=2024-10-03
2022-04-05 13:10:00,BULLISH,PendingFlip,FAIL:no_contract CE 18000 exp=2024-10-03
2022-04-05 14:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 18050 exp=2024-10-03
2022-04-06 11:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 17750 exp=2024-10-03
2022-04-06 13:30:00,BEARISH,PendingFlip,FAIL:no_contract PE 17850 exp=2024-10-03
2022-04-06 14:20:00,BULLISH,PendingFlip,FAIL:no_contract CE 17750 exp=2024-10-03
2022-04-06 15:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 17850 exp=2024-10-03
2022-04-07 11:05:00,BEARISH,PendingFlip,FAIL:no_contract PE 17750 exp=2024-10-03
2022-04-07 11:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 17650 exp=2024-10-03
2022-04-07 13:30:00,BEARISH,PendingFlip,FAIL:no_contract PE 17750 exp=2024-10-03
2022-04-08 09:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 17600 exp=2024-10-03
2022-04-08 09:30:00,BULLISH,PendingFlip,FAIL:no_contract CE 17600 exp=2024-10-03
2022-04-08 09:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 17600 exp=2024-10-03
2022-04-08 09:40:00,BULLISH,PendingFlip,FAIL:no_contract CE 17600 exp=2024-10-03
2022-04-08 09:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 17600 exp=2024-10-03
2022-04-08 11:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 17700 exp=2024-10-03
2022-04-08 11:05:00,BULLISH,PendingFlip,FAIL:no_contract CE 17600 exp=2024-10-03
2022-04-08 13:10:00,BEARISH,PendingFlip,FAIL:no_contract PE 17800 exp=2024-10-03
2022-04-08 15:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 17850 exp=2024-10-03
2022-04-11 11:15:00,BEARISH,PendingFlip,FAIL:no_contract PE 17750 exp=2024-10-03
2022-04-11 11:55:00,BULLISH,PendingFlip,FAIL:no_contract CE 17650 exp=2024-10-03
2022-04-11 13:20:00,BULLISH,PendingFlip,FAIL:no_contract CE 17700 exp=2024-10-03
2022-04-11 14:25:00,BEARISH,PendingFlip,FAIL:no_contract PE 17800 exp=2024-10-03
2022-04-12 11:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 17450 exp=2024-10-03
2022-04-12 12:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 17450 exp=2024-10-03
2022-04-12 13:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 17550 exp=2024-10-03
2022-04-12 14:35:00,BULLISH,PendingFlip,FAIL:no_contract CE 17550 exp=2024-10-03
2022-04-13 09:40:00,BULLISH,PendingFlip,FAIL:no_contract CE 17600 exp=2024-10-03
2022-04-13 09:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 17550 exp=2024-10-03
2022-04-13 11:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 17500 exp=2024-10-03
2022-04-13 12:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 17550 exp=2024-10-03
2022-04-13 13:20:00,BULLISH,PendingFlip,FAIL:no_contract CE 17450 exp=2024-10-03
2022-04-13 14:10:00,BEARISH,PendingFlip,FAIL:no_contract PE 17550 exp=2024-10-03
2022-04-13 15:05:00,BEARISH,PendingFlip,FAIL:no_contract PE 17500 exp=2024-10-03
2022-04-18 11:10:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-04-18 12:40:00,BEARISH,PendingFlip,FAIL:no_contract PE 17150 exp=2024-10-03
2022-04-18 13:50:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-04-19 11:50:00,BULLISH,PendingFlip,FAIL:no_contract CE 17200 exp=2024-10-03
2022-04-19 13:10:00,BEARISH,PendingFlip,FAIL:no_contract PE 17250 exp=2024-10-03
2022-04-19 14:00:00,BULLISH,PendingFlip,FAIL:no_contract CE 17200 exp=2024-10-03
2022-04-19 15:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 17050 exp=2024-10-03
2022-04-20 09:50:00,BULLISH,PendingFlip,FAIL:no_contract CE 17050 exp=2024-10-03
2022-04-20 11:05:00,BEARISH,PendingFlip,FAIL:no_contract PE 17150 exp=2024-10-03
2022-04-20 12:50:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-04-20 13:50:00,BEARISH,PendingFlip,FAIL:no_contract PE 17150 exp=2024-10-03
2022-04-20 14:45:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-04-21 12:15:00,BEARISH,PendingFlip,FAIL:no_contract PE 17400 exp=2024-10-03
2022-04-21 15:20:00,BEARISH,PendingFlip,FAIL:no_contract PE 17450 exp=2024-10-03
2022-04-22 12:55:00,BEARISH,PendingFlip,FAIL:no_contract PE 17350 exp=2024-10-03
2022-04-22 14:30:00,BEARISH,PendingFlip,FAIL:no_contract PE 17250 exp=2024-10-03
2022-04-25 11:00:00,BEARISH,PendingFlip,FAIL:no_contract PE 17050 exp=2024-10-03
2022-04-25 13:25:00,BULLISH,PendingFlip,FAIL:no_contract CE 16950 exp=2024-10-03
2022-04-25 14:05:00,BEARISH,PendingFlip,FAIL:no_contract PE 17050 exp=2024-10-03
2022-04-26 09:15:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
2022-04-26 09:20:00,BULLISH,PendingFlip,FAIL:no_contract CE 17100 exp=2024-10-03
