entry_time,exit_time,type,signal,entry_spot,strike,opt_type,itm_depth,entry_premium,exit_premium,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,qty,equity_at_entry
2025-03-10 13:55:00,2025-03-10 14:25:00,BUY_PE,BEARISH,22550.8,22600,PE,1,145.5,195.8,3772.500000000001,72.97443431500001,3699.525565685001,Target,2025-03-13,0,False,75,223874
2025-03-10 14:25:00,2025-03-10 15:15:00,BUY_PE,BEARISH,22460.1,22500,PE,1,137.15,139.55,180.00000000000043,66.69989408500001,113.30010591500042,IntradayExit,2025-03-13,0,False,75,227573
2025-03-11 11:55:00,2025-03-11 12:20:00,BUY_PE,BEARISH,22443.0,22500,PE,1,135.95,134.2,-131.25,66.08940588249999,-197.3394058825,Reversal,2025-03-13,0,False,75,227687
2025-03-11 12:25:00,2025-03-11 14:25:00,BUY_CE,BULLISH,22454.8,22400,CE,1,145.45,182.05,2745.000000000002,71.507922625,2673.492077375002,Target,2025-03-13,0,False,75,227489
2025-03-11 14:25:00,2025-03-11 15:15:00,BUY_CE,BULLISH,22500.75,22450,CE,1,149.5,130.15,-1451.2499999999995,66.11570260750001,-1517.3657026074995,IntradayExit,2025-03-13,0,False,75,230163
2025-03-12 12:55:00,2025-03-12 13:20:00,BUY_CE,BULLISH,22367.7,22300,CE,1,109.9,145.4,2662.5,66.402535015,2596.097464985,Target,2025-03-13,0,False,75,228646
2025-03-12 13:20:00,2025-03-12 14:10:00,BUY_CE,BULLISH,22440.25,22400,CE,1,80.9,84.8,292.4999999999994,58.96696853500001,233.53303146499937,Reversal,2025-03-13,0,False,75,231242
2025-03-12 14:15:00,2025-03-12 14:30:00,BUY_PE,BEARISH,22459.3,22500,PE,1,111.0,77.9,-2482.4999999999995,59.248748694999996,-2541.7487486949994,StopLoss,2025-03-13,0,False,75,231475
2025-03-13 11:10:00,2025-03-13 11:40:00,BUY_PE,BEARISH,22519.65,22550,PE,1,151.45,205.15,4027.5000000000014,74.17151983000001,3953.3284801700015,Target,2025-03-20,0,False,75,228933
2025-03-13 11:40:00,2025-03-13 12:45:00,BUY_PE,BEARISH,22433.5,22500,PE,1,176.15,158.0,-1361.2500000000005,69.98293908250001,-1431.2329390825005,Reversal,2025-03-20,0,False,75,232887
2025-03-13 12:50:00,2025-03-13 13:50:00,BUY_CE,BULLISH,22451.3,22400,CE,1,170.35,162.2,-611.2500000000005,70.23443700249999,-681.4844370025005,Reversal,2025-03-20,0,False,75,231456
2025-03-13 13:55:00,2025-03-13 15:15:00,BUY_PE,BEARISH,22433.45,22500,PE,1,159.3,174.4,1132.4999999999995,71.16083693499999,1061.3391630649996,IntradayExit,2025-03-20,0,False,75,230774
2025-03-17 11:30:00,2025-03-17 12:30:00,BUY_CE,BULLISH,22499.0,22450,CE,1,155.85,138.55,-1297.4999999999986,67.22509522,-1364.7250952199986,Reversal,2025-03-20,0,False,75,231835
2025-03-17 12:35:00,2025-03-17 13:25:00,BUY_PE,BEARISH,22455.9,22500,PE,1,141.0,118.45,-1691.2499999999998,64.5821200975,-1755.8321200974997,Reversal,2025-03-20,0,False,75,230471
2025-03-17 13:30:00,2025-03-17 15:00:00,BUY_CE,BULLISH,22490.55,22450,CE,1,143.6,158.55,1121.2500000000014,68.9419099825,1052.3080900175014,Reversal,2025-03-20,0,False,75,228715
2025-03-17 15:05:00,2025-03-17 15:15:00,BUY_PE,BEARISH,22516.5,22550,PE,1,124.65,122.6,-153.75000000000085,64.4718854875,-218.22188548750086,IntradayExit,2025-03-20,0,False,75,229767
2025-03-18 12:40:00,2025-03-18 13:15:00,BUY_PE,BEARISH,22703.9,22750,PE,1,114.6,84.7,-2242.4999999999995,60.094787215,-2302.5947872149995,StopLoss,2025-03-20,0,False,75,229549
2025-03-18 13:35:00,2025-03-18 15:10:00,BUY_CE,BULLISH,22782.2,22750,CE,1,119.0,156.69,2826.75,67.91270870950001,2758.8372912905,Target,2025-03-20,0,False,75,227246
2025-03-18 15:10:00,2025-03-18 15:15:00,BUY_CE,BULLISH,22842.95,22800,CE,1,122.2,124.7,187.5,64.612836595,122.887163405,IntradayExit,2025-03-20,0,False,75,230005
2025-03-19 11:50:00,2025-03-19 12:35:00,BUY_PE,BEARISH,22900.2,22950,PE,1,106.0,96.75,-693.75,61.0879745125,-754.8379745125,Reversal,2025-03-20,0,False,75,230128
2025-03-19 12:40:00,2025-03-19 13:50:00,BUY_CE,BULLISH,22906.6,22850,CE,1,125.85,119.7,-461.2499999999994,64.20348015249999,-525.4534801524994,Reversal,2025-03-20,0,False,75,229373
2025-03-19 13:55:00,2025-03-19 14:00:00,BUY_PE,BEARISH,22913.1,22950,PE,1,98.1,93.4,-352.49999999999915,60.464208325,-412.96420832499916,Reversal,2025-03-20,0,False,75,228848
2025-03-19 14:05:00,2025-03-19 15:15:00,BUY_CE,BULLISH,22916.4,22850,CE,1,129.1,131.3,165.00000000000128,65.54905102000001,99.45094898000127,IntradayExit,2025-03-20,0,False,75,228435
2025-03-20 15:20:00,2025-03-20 15:25:00,BUY_PE,BEARISH,23183.4,23250,PE,1,164.0,165.25,93.75,70.3448420875,23.4051579125,IntradayExit,2025-03-27,0,False,75,228534
2025-03-21 13:50:00,2025-03-21 14:25:00,BUY_PE,BEARISH,23283.2,23350,PE,1,144.35,107.65,-2752.499999999999,63.544740100000006,-2816.044740099999,StopLoss,2025-03-27,0,False,75,228558
2025-03-21 14:45:00,2025-03-21 15:15:00,BUY_CE,BULLISH,23340.0,23300,CE,1,177.65,174.0,-273.75000000000045,71.7381337075,-345.4881337075004,IntradayExit,2025-03-27,0,False,75,225742
2025-03-24 09:35:00,2025-03-24 10:00:00,BUY_CE,BULLISH,23439.65,23400,CE,1,173.7,227.1,4005.0000000000005,77.26157104,3927.7384289600004,Target,2025-03-27,0,False,75,225396
2025-03-24 10:00:00,2025-03-24 10:50:00,BUY_CE,BULLISH,23550.2,23500,CE,1,162.15,208.65,3487.5,74.90585703999999,3412.59414296,Target,2025-03-27,0,False,75,229324
2025-03-24 10:50:00,2025-03-24 14:15:00,BUY_CE,BULLISH,23594.1,23550,CE,1,178.55,230.7,3911.249999999998,77.8089335875,3833.441066412498,Target,2025-03-27,0,False,75,232736
2025-03-24 14:15:00,2025-03-24 15:15:00,BUY_CE,BULLISH,23688.45,23650,CE,1,164.1,161.85,-168.75,69.98600967249999,-238.7360096725,IntradayExit,2025-03-27,0,False,75,236570
2025-03-25 09:40:00,2025-03-25 10:00:00,BUY_CE,BULLISH,23788.1,23750,CE,1,161.69,211.55,3739.500000000001,75.19926146200001,3664.300738538001,Target,2025-03-27,0,False,75,236331
2025-03-25 10:00:00,2025-03-25 10:15:00,BUY_CE,BULLISH,23833.0,23800,CE,1,179.2,134.3,-3367.499999999998,67.561154425,-3435.061154424998,StopLoss,2025-03-27,0,False,75,239995
2025-03-25 12:40:00,2025-03-25 12:55:00,BUY_CE,BULLISH,23696.9,23650,CE,1,153.15,161.05,592.5000000000005,69.53086471,522.9691352900004,Reversal,2025-03-27,0,False,75,236560
2025-03-25 13:00:00,2025-03-25 14:05:00,BUY_PE,BEARISH,23677.15,23750,PE,1,118.9,101.6,-1297.500000000001,62.04045227499999,-1359.540452275001,Reversal,2025-03-27,0,False,75,237083
2025-03-25 14:10:00,2025-03-25 15:05:00,BUY_CE,BULLISH,23739.9,23700,CE,1,146.8,122.3,-1837.5000000000011,65.18820920499999,-1902.6882092050012,Reversal,2025-03-27,0,False,75,235724
2025-03-25 15:10:00,2025-03-25 15:15:00,BUY_PE,BEARISH,23670.3,23700,PE,1,93.05,99.85,509.9999999999998,60.980741394999995,449.0192586049998,IntradayExit,2025-03-27,0,False,75,233821
2025-03-26 10:00:00,2025-03-26 11:25:00,BUY_CE,BULLISH,23666.45,23600,CE,1,145.5,136.0,-712.5,66.60378782500001,-779.103787825,Reversal,2025-03-27,0,False,75,234270
2025-03-26 11:30:00,2025-03-26 12:00:00,BUY_PE,BEARISH,23662.65,23700,PE,1,90.9,138.55,3573.7500000000005,65.0309185975,3508.7190814025003,Target,2025-03-27,0,False,75,233491
2025-03-26 12:00:00,2025-03-26 12:50:00,BUY_PE,BEARISH,23582.3,23650,PE,1,108.9,84.45,-1833.7500000000002,59.875593542500006,-1893.6255935425002,Reversal,2025-03-27,0,False,75,237000
2025-03-26 12:55:00,2025-03-26 13:20:00,BUY_CE,BULLISH,23615.2,23550,CE,1,147.15,109.05,-2857.5000000000005,63.788476810000006,-2921.2884768100002,StopLoss,2025-03-27,0,False,75,235106
2025-03-26 13:35:00,2025-03-26 14:40:00,BUY_PE,BEARISH,23535.1,23600,PE,1,104.7,94.5,-765.0000000000002,60.80435896,-825.8043589600002,Reversal,2025-03-27,0,False,75,232185
2025-03-26 14:45:00,2025-03-26 14:55:00,BUY_CE,BULLISH,23530.55,23500,CE,1,118.0,87.85,-2261.2500000000005,60.545225417500006,-2321.7952254175007,StopLoss,2025-03-27,0,False,75,231359
2025-03-27 11:20:00,2025-03-27 11:40:00,BUY_PE,BEARISH,23585.25,23650,PE,1,161.1,158.19,-218.24999999999974,69.49475288949999,-287.74475288949975,Reversal,2025-04-03,0,False,75,229037
2025-03-27 11:45:00,2025-03-27 12:35:00,BUY_CE,BULLISH,23613.95,23550,CE,1,235.0,211.6,-1755.0000000000005,77.68118683,-1832.6811868300006,Reversal,2025-04-03,0,False,75,228749
2025-03-27 12:40:00,2025-03-27 13:25:00,BUY_PE,BEARISH,23599.7,23650,PE,1,155.9,158.19,171.7499999999994,69.3190836295,102.4309163704994,Reversal,2025-04-03,0,False,75,226917
2025-03-27 13:30:00,2025-03-27 15:15:00,BUY_CE,BULLISH,23604.75,23550,CE,1,223.15,226.25,232.49999999999957,78.84156546999999,153.65843452999957,IntradayExit,2025-04-03,0,False,75,227019
2025-03-28 10:00:00,2025-03-28 13:50:00,BUY_PE,BEARISH,23563.2,23600,PE,1,148.35,198.65,3772.500000000001,73.37433235,3699.125667650001,Target,2025-04-03,0,False,75,227173
2025-03-28 13:50:00,2025-03-28 14:30:00,BUY_PE,BEARISH,23458.6,23500,PE,1,141.05,95.95,-3382.5000000000005,62.18682685,-3444.6868268500007,StopLoss,2025-04-03,0,False,75,230872
2025-03-28 14:55:00,2025-03-28 15:15:00,BUY_CE,BULLISH,23591.5,23550,CE,1,136.5,113.35,-1736.2500000000005,63.88678261749999,-1800.1367826175006,IntradayExit,2025-04-03,0,False,75,227427
2025-04-01 09:25:00,2025-04-01 09:35:00,BUY_PE,BEARISH,23471.45,23500,PE,1,139.0,98.05,-3071.25,62.341290977499995,-3133.5912909775,StopLoss,2025-04-03,0,False,75,225627
2025-04-01 12:50:00,2025-04-01 13:30:00,BUY_CE,BULLISH,23209.9,23150,CE,1,161.0,123.2,-2835.0,65.76380071000001,-2900.76380071,Reversal,2025-04-03,0,False,75,222494
2025-04-01 13:35:00,2025-04-01 14:20:00,BUY_PE,BEARISH,23163.0,23200,PE,1,105.9,119.4,1012.5,63.497558514999994,949.002441485,Reversal,2025-04-03,0,False,75,219593
2025-04-01 14:25:00,2025-04-01 15:15:00,BUY_CE,BULLISH,23154.75,23100,CE,1,148.1,170.8,1702.5000000000014,70.39895519500001,1632.1010448050013,IntradayExit,2025-04-03,0,False,75,220542
2025-04-02 11:50:00,2025-04-02 12:30:00,BUY_PE,BEARISH,23263.45,23300,PE,1,89.85,79.55,-772.4999999999998,58.710026469999995,-831.2100264699998,Reversal,2025-04-03,0,False,75,222174
2025-04-02 12:35:00,2025-04-02 13:15:00,BUY_CE,BULLISH,23272.7,23200,CE,1,125.15,126.35,89.99999999999915,64.888273825,25.11172617499915,Reversal,2025-04-03,0,False,75,221343
2025-04-02 13:20:00,2025-04-02 13:45:00,BUY_PE,BEARISH,23288.8,23350,PE,1,101.6,115.35,1031.25,62.9208367225,968.3291632775,Reversal,2025-04-03,0,False,75,221368
2025-04-02 13:50:00,2025-04-02 14:25:00,BUY_CE,BULLISH,23257.7,23200,CE,1,113.75,124.5,806.25,64.3060675375,741.9439324625,Reversal,2025-04-03,0,False,75,222336
2025-04-02 14:30:00,2025-04-02 15:15:00,BUY_PE,BEARISH,23303.9,23350,PE,1,103.1,100.25,-213.74999999999957,61.36286904249999,-275.11286904249954,IntradayExit,2025-04-03,0,False,75,223078
2025-04-03 09:35:00,2025-04-03 12:10:00,BUY_PE,BEARISH,23251.45,23300,PE,1,176.5,152.85,-1773.7500000000005,69.44612034250001,-1843.1961203425005,Reversal,2025-04-09,0,False,75,222803
2025-04-03 12:15:00,2025-04-03 12:45:00,BUY_CE,BULLISH,23277.35,23250,CE,1,173.15,161.5,-873.7500000000005,70.2544553575,-944.0044553575004,Reversal,2025-04-09,0,False,75,220960
2025-04-03 12:50:00,2025-04-03 13:35:00,BUY_PE,BEARISH,23259.5,23300,PE,1,163.5,160.94,-192.00000000000017,69.868795522,-261.86879552200014,Reversal,2025-04-09,0,False,75,220016
2025-04-03 13:40:00,2025-04-03 14:25:00,BUY_CE,BULLISH,23264.65,23200,CE,1,198.0,194.0,-300.0,74.55625959999999,-374.5562596,Reversal,2025-04-09,0,False,75,219754
2025-04-03 14:30:00,2025-04-03 15:15:00,BUY_PE,BEARISH,23254.85,23300,PE,1,167.05,181.2,1061.2499999999982,72.14707303750001,989.1029269624981,IntradayExit,2025-04-09,0,False,75,219379
2025-04-04 11:15:00,2025-04-04 11:55:00,BUY_CE,BULLISH,22991.5,22950,CE,1,166.75,126.2,-3041.25,66.2776480225,-3107.5276480225,Reversal,2025-04-09,0,False,75,220368
2025-04-04 12:00:00,2025-04-04 13:45:00,BUY_PE,BEARISH,22957.15,23000,PE,1,150.35,195.5,3386.2500000000005,73.1063199175,3313.1436800825004,Target,2025-04-09,0,False,75,217261
2025-04-04 13:45:00,2025-04-04 14:35:00,BUY_PE,BEARISH,22896.8,22950,PE,1,164.8,164.8,0.0,70.32392848,-70.32392848,Reversal,2025-04-09,0,False,75,220574
2025-04-04 14:40:00,2025-04-04 15:15:00,BUY_CE,BULLISH,22872.4,22800,CE,1,160.94,166.3,402.000000000001,70.353326662,331.64667333800105,IntradayExit,2025-04-09,0,False,75,220504
2025-04-07 09:40:00,2025-04-07 11:05:00,BUY_PE,BEARISH,22021.7,22050,PE,1,268.39,303.39,2625.0,88.587808939,2536.412191061,Reversal,2025-04-09,0,False,75,220835
2025-04-07 11:10:00,2025-04-07 11:40:00,BUY_CE,BULLISH,21986.3,21950,CE,1,339.15,350.0,813.7500000000017,95.9437443325,717.8062556675017,Reversal,2025-04-09,0,False,75,223372
2025-04-07 11:45:00,2025-04-07 12:15:00,BUY_PE,BEARISH,22003.35,22050,PE,1,297.75,383.95,6464.999999999999,98.161926835,6366.8380731649995,Target,2025-04-09,0,False,75,224090
2025-04-07 12:15:00,2025-04-07 13:20:00,BUY_PE,BEARISH,21863.35,21900,PE,1,313.7,365.0,3847.500000000001,96.681966685,3750.818033315001,Reversal,2025-04-09,0,False,75,230456
2025-04-07 13:25:00,2025-04-07 14:50:00,BUY_CE,BULLISH,21898.1,21850,CE,1,332.6,420.55,6596.249999999999,103.23834003250003,6493.011659967499,Target,2025-04-09,0,False,75,234207
2025-04-07 14:50:00,2025-04-07 15:10:00,BUY_CE,BULLISH,22022.9,21950,CE,1,355.5,493.45,10346.25,111.77818332249998,10234.4718166775,Target,2025-04-09,0,False,75,240700
2025-04-07 15:10:00,2025-04-07 15:15:00,BUY_CE,BULLISH,22184.65,22150,CE,1,357.4,320.14,-2794.499999999999,93.379213927,-2887.879213926999,IntradayExit,2025-04-09,0,False,75,250935
