entry_time,exit_time,type,entry_spot,sell_strike,buy_strike,sell_entry,buy_entry,sell_exit,buy_exit,net_credit,exit_spread,pnl_per_unit,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,is_next_expiry,qty,equity_at_entry,margin_at_entry,margin_req,elm_component,margin_util_pct
2024-09-16 13:15:00,2024-09-16 14:35:00,BULL_PUT,25383.55,25400,24900,228.65,88.4,213.55,82.3,140.25,131.25,9.0,1755.0,248.692287227,1506.307712773,Reversal,2024-10-03,0,False,False,195,404216,71920,79112,0,17.8
2024-09-16 14:40:00,2024-09-16 15:10:00,BEAR_CALL,25389.7,25400,25900,296.14,81.95,296.8,82.25,214.19,214.55,-0.36000000000001364,-70.20000000000266,290.3515802582,-360.55158025820265,Reversal,2024-10-03,0,False,False,195,405722,71937,79131,0,17.7
2024-09-16 15:15:00,2024-09-17 10:05:00,BULL_PUT,25390.3,25400,24900,217.0,83.15,228.2,87.05,133.85,141.14999999999998,-7.299999999999983,-1423.4999999999966,250.46348880199997,-1673.9634888019966,Reversal,2024-10-03,1,True,False,195,405362,71939,79133,0,17.7
2024-09-17 10:45:00,2024-09-17 12:15:00,BULL_PUT,25396.3,25400,24900,216.4,81.3,213.8,79.4,135.10000000000002,134.4,0.700000000000017,136.50000000000333,243.943052867,-107.44305286699668,Reversal,2024-10-03,0,False,False,195,403688,71956,79152,0,17.8
2024-09-17 12:20:00,2024-09-17 13:05:00,BEAR_CALL,25414.5,25400,25900,290.05,76.09,299.1,77.7,213.96,221.40000000000003,-7.440000000000026,-1450.8000000000052,287.54027251220003,-1738.3402725122053,Reversal,2024-10-03,0,False,False,195,403580,72008,79209,0,17.8
2024-09-17 13:10:00,2024-09-17 14:35:00,BULL_PUT,25425.7,25450,24950,229.25,86.6,231.8,87.35,142.65,144.45000000000002,-1.8000000000000114,-351.0000000000022,255.26088005,-606.2608800500022,Reversal,2024-10-03,0,False,False,195,401842,72039,79243,0,17.9
2024-09-17 14:40:00,2024-09-18 10:05:00,BEAR_CALL,25422.6,25400,25900,298.55,78.59,296.05,78.84,219.96,217.21,2.75,536.25,289.5673452989,246.68265470109998,Reversal,2024-10-03,1,True,False,195,401236,72031,79234,0,18.0
2024-09-18 10:10:00,2024-09-18 11:35:00,BULL_PUT,25413.9,25400,24900,209.0,80.45,202.2,79.25,128.55,122.94999999999999,5.600000000000023,1092.0000000000045,238.49627776699998,853.5037222330045,Reversal,2024-10-03,0,False,False,195,401483,72006,79207,0,17.9
2024-09-18 11:40:00,2024-09-18 14:30:00,BEAR_CALL,25462.1,25450,25950,293.1,80.0,244.85,62.9,213.10000000000002,181.95,31.150000000000034,6074.250000000006,269.2853578355,5804.964642164507,Reversal,2024-10-03,0,False,False,195,402336,72143,79357,0,17.9
2024-09-18 14:35:00,2024-09-19 10:35:00,BULL_PUT,25341.25,25350,24850,239.65,100.0,134.55,48.1,139.65,86.45000000000002,53.19999999999999,10373.999999999998,220.941189749,10153.058810250997,Reversal,2024-10-03,1,True,False,195,408141,71800,78980,0,17.6
2024-09-19 10:40:00,2024-09-19 12:50:00,BEAR_CALL,25497.75,25500,26000,265.3,59.1,242.55,49.45,206.20000000000002,193.10000000000002,13.099999999999994,2554.499999999999,255.373478432,2299.126521567999,Reversal,2024-10-03,0,False,False,195,418294,72244,79468,0,17.3
2024-09-19 12:55:00,2024-09-19 13:35:00,BULL_PUT,25423.05,25400,24900,174.9,64.09,184.65,67.05,110.81,117.60000000000001,-6.790000000000006,-1324.0500000000013,219.27116709470002,-1543.3211670947014,Reversal,2024-10-03,0,False,False,195,420593,72032,79235,0,17.1
2024-09-19 13:40:00,2024-09-19 14:35:00,BEAR_CALL,25404.55,25400,25900,280.39,62.55,283.1,63.8,217.83999999999997,219.3,-1.4600000000000364,-284.7000000000071,275.2998796592,-559.9998796592071,Reversal,2024-10-03,0,False,False,195,419050,71980,79178,0,17.2
2024-09-19 14:40:00,2024-09-20 14:10:00,BULL_PUT,25404.8,25400,24900,177.3,64.59,117.95,43.4,112.71000000000001,74.55000000000001,38.16,7441.199999999999,194.5640912012,7246.6359087987985,Reversal,2024-10-03,1,True,False,195,418490,71980,79178,0,17.2
2024-09-20 14:15:00,2024-09-20 14:25:00,BEAR_CALL,25702.95,25700,26200,212.0,38.5,220.5,41.4,173.5,179.1,-5.599999999999994,-1091.9999999999989,230.33457441200002,-1322.3345744119988,Reversal,2024-10-03,0,False,False,195,425736,72825,80108,0,17.1
2024-09-20 14:30:00,2024-09-23 10:40:00,BULL_PUT,25679.2,25700,25200,224.35,78.9,136.5,47.9,145.45,88.6,56.849999999999994,11085.749999999998,215.34614481949998,10870.403855180499,Reversal,2024-10-03,3,True,False,195,424414,72758,80034,0,17.1
2024-09-23 10:45:00,2024-09-23 11:30:00,BEAR_CALL,25873.65,25850,26350,240.0,48.4,239.55,47.0,191.6,192.55,-0.950000000000017,-185.25000000000333,245.8988205185,-431.1488205185033,Reversal,2024-10-03,0,False,False,195,435285,73309,80640,0,16.8
2024-09-23 11:35:00,2024-09-24 11:15:00,BULL_PUT,25859.45,25850,25350,180.7,61.3,147.0,46.9,119.39999999999999,100.1,19.299999999999997,3763.4999999999995,204.40265521700005,3559.0973447829997,Reversal,2024-10-03,1,True,False,195,434853,73268,80595,0,16.8
2024-09-24 11:20:00,2024-09-24 12:45:00,BEAR_CALL,25923.75,25900,26400,237.15,42.5,248.3,44.85,194.65,203.45000000000002,-8.800000000000011,-1716.0000000000023,246.470476064,-1962.4704760640022,Reversal,2024-10-03,0,False,False,195,438413,73451,80796,0,16.8
