entry_time,exit_time,type,entry_spot,sell_strike,buy_strike,sell_entry,buy_entry,sell_exit,buy_exit,net_credit,exit_spread,pnl_per_unit,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,is_next_expiry,qty,equity_at_entry,margin_at_entry,margin_req,elm_component,margin_util_pct
2025-03-21 13:40:00,2025-03-21 14:20:00,BEAR_CALL,23334.45,23350,23850,137.44,11.05,145.1,11.45,126.39,133.65,-7.260000000000005,-2359.500000000002,233.150198392,-2592.6501983920016,Reversal,2025-03-27,0,False,False,325,1730996,66114,72726,0,3.8
2025-03-21 14:25:00,2025-03-24 10:50:00,BULL_PUT,23378.8,23400,22900,129.44,17.7,65.09,10.5,111.74,54.59,57.14999999999999,18573.749999999996,192.27601356649998,18381.473986433495,Target,2025-03-27,3,True,False,325,1728404,66240,72864,0,3.8
2025-03-24 10:50:00,2025-03-25 09:15:00,BULL_PUT,23594.1,23600,23100,137.69,20.45,69.34,11.4,117.24,57.940000000000005,59.29999999999999,19272.499999999996,198.90601652400002,19073.593983475996,Target,2025-03-27,1,True,False,325,1746785,66850,73535,0,3.8
2025-03-25 09:15:00,2025-03-25 10:10:00,BULL_PUT,23727.6,23750,23250,124.4,17.85,103.35,15.95,106.55000000000001,87.39999999999999,19.15000000000002,6223.750000000006,210.5226666275,6013.227333372506,Reversal,2025-03-27,0,False,False,325,1765859,67228,73951,0,3.8
2025-03-25 10:15:00,2025-03-25 15:25:00,BEAR_CALL,23798.2,23800,24300,134.3,17.1,60.25,4.15,117.20000000000002,56.1,61.100000000000016,19857.500000000004,189.21880109000003,19668.281198910005,Target,2025-03-27,0,False,False,325,1771872,67428,74171,0,3.8
2025-03-25 15:25:00,2025-03-26 09:20:00,BEAR_CALL,23605.95,23600,24100,161.0,11.7,189.9,13.95,149.3,175.95000000000002,-26.650000000000006,-8661.250000000002,266.3940373775,-8927.644037377502,Reversal,2025-03-27,1,True,False,325,1791540,66884,73572,0,3.7
2025-03-26 09:25:00,2025-03-26 11:55:00,BULL_PUT,23699.95,23700,23200,84.25,5.95,109.25,5.65,78.3,103.6,-25.299999999999997,-8222.499999999998,188.272029355,-8410.772029354997,Reversal,2025-03-27,0,False,False,325,1782613,67150,73865,0,3.8
2025-03-26 12:00:00,2025-03-26 14:55:00,BEAR_CALL,23582.3,23600,24100,104.5,4.59,43.3,3.0,99.91,40.3,59.61,19373.25,165.10958025949998,19208.1404197405,Target,2025-03-27,0,False,False,325,1774202,66817,73498,0,3.8
2025-03-27 09:15:00,2025-03-27 09:40:00,BEAR_CALL,23506.85,23500,24000,181.25,31.45,222.85,40.2,149.8,182.64999999999998,-32.849999999999966,-10676.249999999989,306.28390453749995,-10982.53390453749,Reversal,2025-04-03,0,False,True,325,1793410,95986,105585,29384,5.4
2025-03-27 09:45:00,2025-03-28 09:35:00,BULL_PUT,23527.75,23550,23050,138.6,33.25,154.9,25.45,105.35,129.45000000000002,-24.100000000000023,-7832.500000000007,248.01819031,-8080.518190310007,Reversal,2025-04-03,1,True,True,325,1782428,96072,105679,29410,5.4
