entry_time,exit_time,type,entry_spot,sell_strike,buy_strike,sell_entry,buy_entry,sell_exit,buy_exit,net_credit,exit_spread,pnl_per_unit,gross_pnl,charges,total_pnl,exit_reason,expiry,days_held,overnight,is_next_expiry,qty,equity_at_entry,margin_at_entry,margin_req,elm_component,elm_raw,margin_util_pct
2025-04-03 09:15:00,2025-04-03 10:10:00,BEAR_CALL,23219.65,23200,23700,179.95,25.05,208.25,26.2,154.89999999999998,182.05,-27.150000000000034,-5294.250000000006,212.60095065349998,-5506.8509506535065,Reversal,2025-04-09,0,False,True,195,1218638,94814,104295,29025,90557,7.8
2025-04-03 10:10:00,2025-04-04 09:15:00,BULL_PUT,23277.6,23300,22800,171.9,35.6,277.1,61.4,136.3,215.70000000000002,-79.4,-15483.000000000002,240.52090298000002,-15723.520902980003,Reversal,2025-04-09,1,True,True,195,1213131,95050,104555,29097,90783,7.8
2025-04-04 09:15:00,2025-04-07 09:15:00,BEAR_CALL,23094.45,23100,23600,166.85,21.45,7.95,2.6,145.4,5.35,140.05,27309.750000000004,145.46763367550002,27164.282366324504,Target,2025-04-09,3,True,False,195,1197407,65434,71978,0,90068,5.5
2025-04-07 09:15:00,2025-04-07 09:30:00,BEAR_CALL,21888.35,21900,22400,560.5,183.2,459.5,137.55,377.3,321.95,55.35000000000002,10793.250000000004,433.80293767250004,10359.447062327503,Reversal,2025-04-09,0,False,False,195,1224572,62017,68219,0,85365,5.1
2025-04-07 09:30:00,2025-04-07 09:55:00,BULL_PUT,22141.75,22150,21650,265.05,153.65,310.5,155.69,111.4,154.81,-43.41,-8464.949999999999,312.2544567407,-8777.2044567407,Reversal,2025-04-09,0,False,False,195,1234931,62735,69008,0,86353,5.1
2025-04-07 09:55:00,2025-04-07 13:50:00,BEAR_CALL,21963.25,21950,22450,337.35,97.3,318.55,87.5,240.05,231.05,9.0,1755.0,310.720200941,1444.279799059,Reversal,2025-04-09,0,False,False,195,1226154,62229,68452,0,85657,5.1
2025-04-07 13:50:00,2025-04-08 10:35:00,BULL_PUT,21990.75,22000,21500,305.6,160.5,92.2,40.7,145.10000000000002,51.5,93.60000000000002,18252.000000000004,230.49458837,18021.505411630005,Reversal,2025-04-09,1,True,False,195,1227598,62307,68538,0,85764,5.1
2025-04-08 10:35:00,2025-04-08 11:05:00,BEAR_CALL,22297.5,22300,22800,208.0,23.6,265.55,38.6,184.4,226.95000000000002,-42.55000000000001,-8297.250000000002,239.8840430225,-8537.134043022503,Reversal,2025-04-09,0,False,False,195,1245620,63176,69494,0,86960,5.1
2025-04-08 11:05:00,2025-04-08 13:50:00,BULL_PUT,22481.15,22500,22000,207.45,75.0,155.75,56.3,132.45,99.45,32.999999999999986,6434.999999999997,218.09378703500002,6216.906212964997,Reversal,2025-04-09,0,False,False,195,1237083,63697,70066,0,87676,5.1
2025-04-08 13:50:00,2025-04-09 10:30:00,BEAR_CALL,22487.05,22500,23000,221.6,35.54,10.3,1.2,186.06,9.100000000000001,176.96,34507.200000000004,162.1470150032,34345.05298499681,Target,2025-04-09,1,True,False,195,1243299,63713,70085,0,87699,5.1
2025-04-09 10:30:00,2025-04-11 09:15:00,BEAR_CALL,22381.55,22400,22900,293.55,88.2,503.4,185.45,205.35000000000002,317.95,-112.59999999999997,-21956.999999999993,377.20160487800007,-22334.20160487799,Reversal,2025-04-17,2,True,True,195,1277645,91391,100530,27977,87288,7.2
2025-04-11 09:15:00,2025-04-11 14:00:00,BULL_PUT,22765.2,22750,22250,225.0,87.7,197.5,78.0,137.3,119.5,17.80000000000001,3471.0000000000023,241.88927936599998,3229.110720634002,Reversal,2025-04-17,0,False,False,195,1255310,64501,70952,0,88784,5.1
2025-04-11 14:00:00,2025-04-15 09:15:00,BEAR_CALL,22788.05,22800,23300,256.89,67.5,522.2,154.0,189.39,368.20000000000005,-178.81000000000006,-34867.95000000001,361.8352959317001,-35229.78529593171,Reversal,2025-04-17,4,True,False,195,1258539,64566,71023,0,88873,5.1
2025-04-15 09:15:00,2025-04-17 09:15:00,BULL_PUT,23279.4,23300,22800,168.05,34.9,20.3,1.14,133.15,19.16,113.99000000000001,22228.050000000003,150.07000112570003,22077.979998874303,Reversal,2025-04-17,2,True,False,195,1223310,65958,72554,0,90790,5.4
2025-04-17 09:15:00,2025-04-17 09:40:00,BEAR_CALL,23358.15,23350,23850,213.85,41.6,211.8,42.5,172.25,169.3,2.9499999999999886,575.2499999999977,228.9633051425,346.28669485749776,Reversal,2025-04-24,0,False,True,195,1245388,95379,104917,29198,91097,7.7
2025-04-17 09:40:00,2025-04-21 12:20:00,BULL_PUT,23397.65,23400,22900,204.3,56.05,14.95,8.05,148.25,6.899999999999999,141.35,27563.25,162.36919491049997,27400.8808050895,Target,2025-04-24,4,True,True,195,1245734,95540,105094,29247,91251,7.7
2025-04-21 12:20:00,2025-04-22 09:15:00,BULL_PUT,24172.4,24150,23650,125.0,23.5,115.0,15.9,101.5,99.1,2.4000000000000057,468.00000000000114,168.017230622,299.98276937800114,Reversal,2025-04-24,1,True,False,195,1273135,68488,75337,0,94272,5.4
2025-04-22 09:15:00,2025-04-22 10:15:00,BEAR_CALL,24089.1,24100,24600,128.65,14.1,154.0,14.85,114.55000000000001,139.15,-24.599999999999994,-4796.999999999999,178.942295708,-4975.942295707999,Reversal,2025-04-24,0,False,False,195,1273435,68252,75078,0,93947,5.4
2025-04-22 10:15:00,2025-04-22 15:25:00,BULL_PUT,24198.0,24200,23700,109.65,14.8,111.9,13.25,94.85000000000001,98.65,-3.799999999999997,-740.9999999999994,161.39055864800002,-902.3905586479995,Reversal,2025-04-24,0,False,False,195,1268459,68561,75417,0,94372,5.4
2025-04-22 15:25:00,2025-04-23 09:15:00,BEAR_CALL,24134.05,24150,24650,105.7,7.6,169.85,10.45,98.10000000000001,159.4,-61.3,-11953.5,175.278769868,-12128.778769868,Reversal,2025-04-24,1,True,False,195,1267556,68380,75218,0,94123,5.4
2025-04-23 09:15:00,2025-04-23 10:05:00,BULL_PUT,24313.5,24300,23800,94.35,8.8,110.35,8.6,85.55,101.75,-16.200000000000003,-3159.0000000000005,154.899313823,-3313.8993138230003,Reversal,2025-04-24,0,False,False,195,1255428,68888,75777,0,94823,5.5
